WO,Date,MatCode,Value,Contractor,GL.Account
70004151,01/10/14,11206942,13,,2699599215
70004151,01/10/14,11206913,3,,2699599215
70004151,01/10/14,11207546,33.4,,2699599215
70004979,01/09/17,11206908,32.4,,2699599215
70005005,01/09/17,11206918,4.2,,2699599215
70005060,01/09/17,11200724,266.7,,2699599215
70005060,01/09/17,91101358,0,,
70004998,01/01/17,11206904,3.3,,2699599215
70004982,01/01/17,11206904,9.9,,2699599215
70004978,01/01/17,11206904,6.6,,2699599215
70004975,01/11/17,11207385,7.2,,2699599215
70004975,01/11/17,11206947,4.1,,2699599215
80007601,01/11/17,91101931,0,,
70004970,01/11/17,91101934,0,,
70004970,01/11/17,11201409,162.9,,2699599215
80007601,01/11/17,91101931,0,,
70004970,01/11/17,91101931,0,,
70004979,01/11/17,11207385,7.2,,2699599215
70004486,01/12/15,11206924,31.5,,2699599215
70004476,01/12/15,91101045,0,,
70004476,01/12/15,91100126,0,,
70005353,01/02/19,11206933,17.2,,2699599215
70005353,01/02/19,11207385,2.1,,2699599215
70005353,01/02/19,11206937,6.8,,2699599215
70005373,01/02/19,11205886,96,,2699599215
80010763,01/09/18,11205595,226.8,,2699559215
80010763,01/09/18,11205578,125,,2699559215
80011107,01/05/18,11201544,333.4,,2699599215
80010977,01/08/18,11200019,119.1,,2699599215
80011107,01/09/18,91101929,0,,
80011107,01/09/18,91101930,0,,
70005003,01/05/18,11206903,-6.8,,2699599215
80011124,01/05/18,11206903,6.8,,2699599215
80010763,01/09/18,91100508,0,,
80011124,01/09/18,91100508,0,,
80010763,01/09/18,11205595,-226.8,,2699559215
80011124,01/09/18,11205595,226.8,,2699559215
80010763,01/09/18,11205578,-125,,2699559215
80011124,01/09/18,11205578,125,,2699559215
80011131,01/10/18,11206905,5.3,,2699599215
80011124,01/10/18,11206908,54,,2699599215
80011107,01/10/18,11206908,37.8,,2699599215
80011072,01/10/18,91101659,0,,
80011134,01/03/18,9900005,0,,
80011132,01/10/18,11206937,11.3,,2699599215
80011133,01/10/18,11207001,17.9,,2699599215
80011136,01/12/18,11207753,4020.8,,2699599215
80011118,01/12/18,11200002,1569.3,,2699559215
80011939,01/03/19,11207829,5381.3,,2699599215
80011940,01/10/19,91100206,0,,
70005353,01/03/19,11207001,17.9,,2699599215
70005353,01/03/19,11206939,25.2,,2699599215
70005353,01/03/19,11207385,6.2,,2699599215
70005365,01/10/19,11206903,11.2,,2699599215
80011943,01/11/19,91101565,0,,
80011941,01/10/19,11204955,791.1,,2699599215
70005349,01/03/19,11200834,72.2,,2699599215
70005349,01/03/19,11206908,21.6,,2699599215
70005353,01/03/19,11200020,97.7,,2699599215
70005353,01/03/19,11200021,120,,2699599215
70005353,01/03/19,91101927,0,,
80011938,01/09/19,11201702,139.9,,2699599215
80011938,01/09/19,91100583,0,,
80011938,01/09/19,11202988,60,,2699599215
80011938,01/09/19,91100534,0,,
80011938,01/09/19,91100533,0,,
70004970,01/12/17,11206903,22.5,,2699599215
70004990,01/12/17,11207385,2.9,,2699599215
70004980,01/12/17,11207385,7.2,,2699599215
70004993,01/12/17,11206904,39.4,,2699599215
70004995,01/12/17,11201959,390.9,,2699599215
70004978,01/12/17,91102089,0,,
70004978,01/11/17,91101659,0,,
70004978,01/12/17,11206908,10.8,,2699599215
70004979,01/12/17,11206903,9,,2699599215
70004979,01/12/17,11207385,4.3,,2699599215
70004979,01/12/17,11206947,2.1,,2699599215
70004979,01/12/17,11205591,152,,2699559215
70004970,01/12/17,91100508,0,,
70004502,01/13/15,11206942,19.5,,2699599215
70004451,01/07/15,11205606,43,,2699599215
70004451,01/07/15,11202638,15.6,,2699599215
80011094,01/10/18,11206903,11.3,,2699599215
80011094,01/10/18,11207001,8.9,,2699599215
80011127,01/10/18,11206947,4.1,,2699599215
80011127,01/10/18,11207385,2.3,,2699599215
70005219,01/10/18,91100540,0,,
80006628,01/12/15,91100539,0,,
80006628,01/12/15,11205168,435.1,,2699559215
80011136,01/12/18,91100609,0,,
80011098,01/10/18,11206908,10.8,,2699599215
80006619,01/12/15,91101932,0,,
80006619,01/12/15,91101929,0,,
80011072,01/05/18,11203376,171,,2699549215
80011107,01/11/18,11206907,4.8,,2699599215
80011107,01/11/18,11206905,5.3,,2699599215
70004490,01/12/15,11207385,8.6,,2699599215
70004451,01/13/15,11206937,4.5,,2699599215
70004451,01/13/15,11207385,4.3,,2699599215
70004504,01/13/15,91101775,0,,
70004504,01/13/15,11207546,33.4,,2699599215
80011072,01/11/18,91101659,0,,
80011102,01/11/18,11206905,5.3,,2699599215
80011102,01/11/18,11206907,4.8,,2699599215
70005211,01/11/18,11202268,154,,2699599215
80011118,01/11/18,11205580,6130.9,,2699559215
80011118,01/11/18,11206947,2.1,,2699599215
70005211,01/11/18,11206905,15.9,,2699599215
70005211,01/11/18,11206907,4.8,,2699599215
80011107,01/12/18,11206908,21.6,,2699599215
70004501,01/13/15,11206903,22.5,,2699599215
70005321,01/15/19,11207345,190,,2699599215
70005321,01/15/19,11206528,195,,2699599215
80011944,01/15/19,11206934,6.8,,2699599215
80011944,01/15/19,11206903,4.5,,2699599215
80011948,01/15/19,91101931,0,,
80011948,01/15/19,11206934,6.8,,2699599215
80011951,01/15/19,11206921,4.8,,2699599215
80011072,01/12/18,91101659,0,,
80011143,01/12/18,11204645,15.9,,2699599215
80011136,01/12/18,11205523,44.8,,2699599215
80011115,01/12/18,91101931,0,,
